award_fact_id,winner_artist_id,winner_track_id,grammy_event_id
1,995.0,,4
2,27586.0,,4
3,3114.0,,4
4,512.0,,4
5,3604.0,,4
6,16322.0,,4
7,15870.0,,10
8,7983.0,,13
9,24869.0,,18
10,29889.0,,21
11,20884.0,,21
12,2519.0,,27
13,2519.0,,28
14,4165.0,,39
15,25892.0,,42
16,3576.0,,54
17,6476.0,,65
18,14474.0,,70
19,15692.0,,70
20,28436.0,,70
21,259.0,,88
22,9167.0,,105
23,2030.0,,154
24,2266.0,,172
25,19338.0,,253
26,19338.0,,255
27,4046.0,,256
28,19338.0,,257
29,7616.0,,262
30,21838.0,,265
31,26741.0,,330
32,852.0,,340
33,13599.0,,357
34,21023.0,,371
35,12999.0,,378
36,12241.0,,390
37,2700.0,,423
38,22046.0,,435
39,5821.0,,441
40,5821.0,,443
41,2689.0,,472
42,3880.0,,481
43,10461.0,,490
44,21167.0,,519
45,2030.0,,570
46,25927.0,,588
47,27621.0,,613
48,13172.0,,619
49,9195.0,,623
50,15692.0,,651
51,5294.0,,669
52,5294.0,,681
53,5179.0,,756
54,21402.0,,766
55,16036.0,,771
56,11743.0,,804
57,23906.0,,933
58,2187.0,,964
59,9195.0,,975
60,2819.0,,1074
61,18265.0,,1102
62,2343.0,,1152
63,14661.0,,1163
64,2343.0,,1165
65,6069.0,,1184
66,21408.0,,1204
67,11294.0,,1237
68,2420.0,,1292
69,24254.0,,1368
70,24254.0,,1369
71,28149.0,,1375
72,10807.0,,1399
73,14425.0,,1401
74,10807.0,,1402
75,21408.0,,1403
76,12509.0,,1448
77,22639.0,,1472
78,2541.0,,1507
79,805.0,,1522
80,47.0,,1551
81,3980.0,,1581
82,21094.0,,1585
83,475.0,,1612
84,17200.0,,1638
85,12241.0,,1650
86,645.0,,1658
87,12241.0,,1691
88,373.0,,1716
89,15333.0,,1737
90,16036.0,,1745
91,11438.0,,1835
92,11630.0,,1897
93,8313.0,,1913
94,8313.0,,1915
95,4372.0,,1916
96,8313.0,,1920
97,2519.0,,1959
98,3150.0,,2070
99,9296.0,,2156
100,15409.0,,2180
101,28703.0,,2198
102,7136.0,,2213
103,527.0,,2222
104,14970.0,,2241
105,9472.0,,2244
106,10154.0,,2252
107,15409.0,,2269
108,7983.0,,2319
109,5966.0,,2320
110,8487.0,,2324
111,17465.0,,2340
112,15409.0,,2358
113,7136.0,,2375
114,7496.0,,2412
115,2016.0,,2434
116,19069.0,,2439
117,1136.0,,2462
118,10950.0,,2500
119,19382.0,,2526
120,4919.0,,2630
121,19382.0,,2681
122,5922.0,,2699
123,14561.0,,2758
124,15088.0,,2851
125,1334.0,,2878
126,3416.0,,2888
127,15088.0,,2894
128,2342.0,,2982
129,12349.0,,3010
130,8299.0,,3066
131,13051.0,,3074
132,27090.0,,3095
133,13052.0,,3097
134,6813.0,,3137
135,4561.0,,3157
136,1863.0,,3158
137,16839.0,,3176
138,19382.0,,3189
139,10825.0,,3204
