year,title,artist,winner,nominee,workers,category,updated_at,published_at,artist_list
2019,62nd annual grammy awards 2019,billie eilish,1,bad guy,finneas o'connell producer rob kinelski finneas o'connell engineersmixers john greenham mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['billie eilish']
2019,62nd annual grammy awards 2019,bon iver,1,hey ma,bj burton brad cook chris messina justin vernon producers bj burton zach hanson chris messina engineersmixers greg calbi mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['bon iver']
2019,62nd annual grammy awards 2019,ariana grande,1,7 rings,charles anderson tommy brown michael foster victoria monet producers serban ghenea john hanes billy hickey brendan morawski engineersmixers randy merrill mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['ariana grande']
2019,62nd annual grammy awards 2019,her,1,hard place,rodney darkchild jerkins producer joseph hurtado jaycen joshua derek keota miki tsutsumi engineersmixers colin leonard mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['her']
2019,62nd annual grammy awards 2019,khalid,1,talk,disclosure denis kosiak producers ingmar carlson jon castelli josh deguzman john kercy denis kosiak guy lawrence michael romero engineersmixers dale becker mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['khalid']
2019,62nd annual grammy awards 2019,lil nas x featuring billy ray cyrus,1,old town road,andrew voxgod bolooki jocelyn jozzy donald youngkio producers andrew voxgod bolooki cinco joe grasso engineersmixers eric lagg mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,"['billy ray cyrus', 'featuring', 'lil nas x']"
2019,62nd annual grammy awards 2019,lizzo,1,truth hurts,ricky reed tele producers chris galland manny marroquin ethan shumaker engineersmixers chris gehringer mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['lizzo']
2019,62nd annual grammy awards 2019,post malone swae lee,1,sunflower,louis bell carter lang producers louis bell manny marroquin engineersmixers mike bozzi mastering engineer,Record Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['post malone swae lee']
2019,62nd annual grammy awards 2019,billie eilish,1,when we all fall asleep where do we go,finneas o'connell producer rob kinelski finneas o'connell engineersmixers billie eilish o'connell finneas o'connell songwriters john greenham mastering engineer,Album Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['billie eilish']
2019,62nd annual grammy awards 2019,bon iver,1,ii,brad cook chris messina justin vernon producers zach hanson chris messina engineersmixers bj burton brad cook justin vernon songwriters greg calbi mastering engineer,Album Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['bon iver']
2019,62nd annual grammy awards 2019,lana del rey,1,norman fing rockwell,jack antonoff lana del rey producers jack antonoff laura sisk engineersmixers jack antonoff lana del rey songwriters chris gehringer mastering engineer,Album Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['lana del rey']
2019,62nd annual grammy awards 2019,ariana grande,1,thank u next,tommy brown ilya max martin victoria monet producers serban ghenea sam holland brendan morawski engineersmixers tommy brown ariana grande savan kotecha max martin victoria monet tayla parx ilya salmanzadeh songwriters randy merrill mastering engineer,Album Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['ariana grande']
2019,62nd annual grammy awards 2019,her,1,i used to know her,david swagg r'celious harris her walter jones jeff robinson producers miki tsutsumi engineermixer sam ashworth jeff gitty gitelman david swagg r'celious harris her songwriters dave kutch mastering engineer,Album Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['her']
2019,62nd annual grammy awards 2019,lil nas x,1,7,joe grasso engineermixer montero lamar hill songwriter eric lagg mastering engineer,Album Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['lil nas x']
2019,62nd annual grammy awards 2019,lizzo,1,cuz i love you deluxe,ricky reed producer manny marroquin ethan shumaker engineersmixers eric frederic melissa jefferson songwriters chris gehringer mastering engineer,Album Of The Year,2020-05-19 05:10:28,2020-05-19 05:10:28,['lizzo']
