grammy_event_id,year,title,category,published_at,updated_at
1,2019,62nd annual grammy awards 2019,record of the year,2020-05-19 05:10:28,2020-05-19 05:10:28
3,2019,62nd annual grammy awards 2019,song of the year,2020-05-19 05:10:28,2020-05-19 05:10:28
4,2019,62nd annual grammy awards 2019,best new artist,2020-05-19 05:10:28,2020-05-19 05:10:28
9,2019,62nd annual grammy awards 2019,best dance recording,2020-05-19 05:10:28,2020-05-19 05:10:28
10,2019,62nd annual grammy awards 2019,best danceelectronic album,2020-05-19 05:10:28,2020-05-19 05:10:28
18,2019,62nd annual grammy awards 2019,best traditional rb performance,2020-05-19 05:10:28,2020-05-19 05:10:28
19,2019,62nd annual grammy awards 2019,best rb song,2020-05-19 05:10:28,2020-05-19 05:10:28
21,2019,62nd annual grammy awards 2019,best rb album,2020-05-19 05:10:28,2020-05-19 05:10:28
24,2019,62nd annual grammy awards 2019,best rap song,2020-05-19 05:10:28,2020-05-19 05:10:28
27,2019,62nd annual grammy awards 2019,best country duogroup performance,2020-05-19 05:10:28,2020-05-19 05:10:28
28,2019,62nd annual grammy awards 2019,best country song,2020-05-19 05:10:28,2020-05-19 05:10:28
36,2019,62nd annual grammy awards 2019,best gospel performancesong,2020-05-19 05:10:28,2020-05-19 05:10:28
37,2019,62nd annual grammy awards 2019,best contemporary christian music performancesong,2020-05-19 05:10:28,2020-05-19 05:10:28
39,2019,62nd annual grammy awards 2019,best contemporary christian music album,2020-05-19 05:10:28,2020-05-19 05:10:28
42,2019,62nd annual grammy awards 2019,best latin rock urban or alternative album,2020-05-19 05:10:28,2020-05-19 05:10:28
46,2019,62nd annual grammy awards 2019,best american roots song,2020-05-19 05:10:28,2020-05-19 05:10:28
59,2019,62nd annual grammy awards 2019,best compilation soundtrack for visual media,2020-05-19 05:10:28,2020-05-19 05:10:28
61,2019,62nd annual grammy awards 2019,best song written for visual media,2020-05-19 05:10:28,2020-05-19 05:10:28
65,2019,62nd annual grammy awards 2019,best recording package,2020-05-19 05:10:28,2020-05-19 05:10:28
70,2019,62nd annual grammy awards 2019,producer of the year non-classical,2020-05-19 05:10:28,2020-05-19 05:10:28
88,2018,61st annual grammy awards 2018,best new artist,2018-12-06 23:48:49,2019-09-10 01:06:11
93,2018,61st annual grammy awards 2018,best dance recording,2018-12-06 23:48:49,2019-09-10 01:06:11
105,2018,61st annual grammy awards 2018,best rb album,2018-12-06 23:48:49,2019-09-10 01:06:11
108,2018,61st annual grammy awards 2018,best rap song,2018-12-06 23:48:49,2019-09-10 01:06:11
120,2018,61st annual grammy awards 2018,best gospel performancesong,2018-12-06 23:48:49,2019-09-10 01:06:11
121,2018,61st annual grammy awards 2018,best contemporary christian music performancesong,2018-12-06 23:48:49,2019-09-10 01:06:11
130,2018,61st annual grammy awards 2018,best american roots song,2018-12-06 23:48:49,2019-09-10 01:06:11
145,2018,61st annual grammy awards 2018,best song written for visual media,2018-12-06 23:48:49,2019-09-10 01:06:11
