nominee_id,name,winner,grammy_event_id
1,bad guy,1,1
2,hey ma,1,1
3,7 rings,1,1
4,hard place,1,1
5,talk,1,1
6,old town road,1,1
7,truth hurts,1,1
8,sunflower,1,1
9,when we all fall asleep where do we go,1,2
10,ii,1,2
11,norman fing rockwell,1,2
12,thank u next,1,2
13,i used to know her,1,2
14,7,1,2
15,cuz i love you deluxe,1,2
16,father of the bride,1,2
17,bad guy,1,3
18,always remember us this way,1,3
19,bring my flowers now,1,3
20,hard place,1,3
21,lover,1,3
22,norman fing rockwell,1,3
23,someone you loved,1,3
24,truth hurts,1,3
25,billie eilish,1,4
26,black pumas,1,4
27,lil nas x,1,4
28,lizzo,1,4
29,maggie rogers,1,4
30,rosalia,1,4
31,tank and the bangas,1,4
32,yola,1,4
33,truth hurts,1,5
34,spirit,1,5
35,bad guy,1,5
36,7 rings,1,5
37,you need to calm down,1,5
38,old town road,1,6
39,boyfriend,1,6
40,sucker,1,6
41,sunflower,1,6
42,senorita,1,6
43,look now,1,7
44,si,1,7
45,love deluxe edition,1,7
46,a legendary christmas,1,7
47,walls,1,7
48,when we all fall asleep where do we go,1,8
49,the lion king the gift,1,8
50,thank u next,1,8
51,no6 collaborations project,1,8
52,lover,1,8
53,got to keep on,1,9
54,linked,1,9
55,piece of your heart,1,9
56,underwater,1,9
57,midnight hour,1,9
58,no geography,1,10
59,lp5,1,10
60,hi this is flume mixtape,1,10
61,solace,1,10
62,weather,1,10
63,mettavolution,1,11
64,ancestral recall,1,11
65,star people nation,1,11
66,beat music beat music beat music,1,11
67,elevate,1,11
68,this land,1,12
69,pretty waste,1,12
70,history repeats,1,12
71,woman,1,12
72,too bad,1,12
73,7empest,1,13
74,astorolus - the great octopus,1,13
75,humanicide,1,13
76,bow down,1,13
77,unleashed,1,13
78,this land,1,14
79,fear inoculum,1,14
80,give yourself a try,1,14
81,harmony hall,1,14
82,history repeats,1,14
83,social cues,1,15
84,amo,1,15
85,in the end,1,15
86,trauma,1,15
87,feral roots,1,15
88,father of the bride,1,16
89,ufof,1,16
90,assume form,1,16
91,ii,1,16
92,anima,1,16
93,come home,1,17
94,love again,1,17
95,could've been,1,17
96,exactly how i feel,1,17
97,roll some mo,1,17
98,jerome,1,18
99,time today,1,18
100,steady love,1,18
101,real games,1,18
102,built for love,1,18
103,say so,1,19
104,could've been,1,19
105,look at me now,1,19
106,no guidance,1,19
107,roll some mo,1,19
108,cuz i love you deluxe,1,20
109,apollo xxi,1,20
110,overload,1,20
111,saturn,1,20
112,being human in public,1,20
113,ventura,1,21
114,1123,1,21
115,painted,1,21
116,ella mai,1,21
117,paul,1,21
118,racks in the middle,1,22
119,middle child,1,22
120,suge,1,22
121,down bad,1,22
122,clout,1,22
123,higher,1,23
124,drip too hard,1,23
125,panini,1,23
126,ballin',1,23
127,the london,1,23
128,a lot,1,24
129,bad idea,1,24
130,gold roses,1,24
131,racks in the middle,1,24
132,suge,1,24
133,igor,1,25
134,revenge of the dreamers iii,1,25
135,championships,1,25
136,i am i was,1,25
137,the lost boy,1,25
138,ride me back home,1,26
139,all your'n,1,26
140,girl goin' nowhere,1,26
141,god's country,1,26
142,bring my flowers now,1,26
143,speechless,1,27
144,brand new man,1,27
145,i don't remember me before you,1,27
146,the daughters,1,27
147,common,1,27
148,bring my flowers now,1,28
149,girl goin' nowhere,1,28
150,it all comes out in the wash,1,28
151,some of it,1,28
152,speechless,1,28
153,while i'm livin',1,29
154,desperate man,1,29
155,stronger than the truth,1,29
156,interstate gospel,1,29
157,center point road,1,29
158,wings,1,30
159,fairy dreams,1,30
160,homage to kindness,1,30
161,verve,1,30
162,deva,1,30
163,sozinho,1,31
164,elsewhere,1,31
165,tomorrow is the question,1,31
166,the windup,1,31
167,sightseeing,1,31
168,12 little spells,1,32
169,thirsty ghost,1,32
170,love liberation,1,32
171,alone together,1,32
172,screenplay,1,32
173,finding gabriel,1,33
174,in the key of the universe,1,33
175,the secret between the shadow and the soul,1,33
176,christian mcbride's new jawn,1,33
177,come what may,1,33
178,the omni-american book club,1,34
179,triple helix,1,34
180,dancer in nowhere,1,34
181,hiding out,1,34
182,one day wonder,1,34
183,antidote,1,35
184,sorte music by john finbury,1,35
185,una noche con ruben blades,1,35
186,carib,1,35
187,sonero the music of ismael rivera,1,35
188,love theory,1,36
189,talkin' 'bout jesus,1,36
190,see the light,1,36
191,speak the name,1,36
192,this is a move live,1,36
193,god only knows,1,37
194,only jesus,1,37
195,haven't seen it yet,1,37
196,god's not done with you single version,1,37
197,rescue story,1,37
198,long live love,1,38
199,goshen,1,38
200,tunnel vision,1,38
201,settle here,1,38
202,something's happening a christmas album,1,38
203,burn the ships,1,39
204,i know a ghost,1,39
205,haven't seen it yet,1,39
206,the elements,1,39
207,holy roar,1,39
208,testimony,1,40
209,deeper roots where the bluegrass grows,1,40
210,deeper oceans,1,40
211,his name is jesus,1,40
212,gonna sing gonna shout,1,40
213,eldisco,1,41
214,vida,1,41
215,1111,1,41
216,montaner,1,41
217,fantasia,1,41
218,el mal querer,1,42
219,x 100pre,1,42
220,oasis,1,42
221,indestructible,1,42
222,almadura,1,42
223,de ayer para siempre,1,43
224,caminando,1,43
225,percepcion,1,43
226,poco a poco,1,43
227,20 aniversario,1,43
228,opus,1,44
229,a journey through cuban music,1,44
230,tiempo al tiempo,1,44
231,candela,1,44
232,literal,1,44
233,saint honesty,1,45
234,father mountain,1,45
235,i'm on my way,1,45
236,call my name,1,45
237,faraway look,1,45
238,call my name,1,46
239,black myself,1,46
240,crossing to jerusalem,1,46
241,faraway look,1,46
242,i don't wanna ride the rails no more,1,46
243,oklahoma,1,47
244,years to burn,1,47
245,who are you now,1,47
246,tales of america,1,47
247,walk through fire,1,47
248,tall fiddler,1,48
249,live in prague czech republic,1,48
250,toil tears trouble,1,48
251,royal traveller,1,48
252,if you can't stand the heat,1,48
253,tall dark handsome,1,49
254,kingfish,1,49
255,sitting on top of the blues,1,49
256,baby please come home,1,49
257,spectacular class,1,49
258,this land,1,50
259,venom faith,1,50
260,brighter days,1,50
261,somebody save me,1,50
262,keep on,1,50
